Date,"Closing Value"
1951-07-27,259.2300
1951-07-30,260.7000
1951-07-31,257.8600
1951-08-01,259.8900
1951-08-02,262.8900
1951-08-03,262.9800
1951-08-06,265.2100
1951-08-07,264.9400
1951-08-08,263.7300
1951-08-09,262.6900
1951-08-10,261.9200
1951-08-13,263.0600
1951-08-14,262.8800
1951-08-15,264.2700
1951-08-16,265.4800
1951-08-17,266.1700
1951-08-20,266.1900
1951-08-21,265.3000
1951-08-22,264.0700
1951-08-23,265.6500
1951-08-24,266.3000
1951-08-27,265.5900
1951-08-28,265.5600
1951-08-29,268.1800
1951-08-30,269.9400
1951-08-31,270.2500
1951-09-04,270.6300
1951-09-05,272.4800
1951-09-06,272.2800
1951-09-07,273.8900
1951-09-10,275.2500
1951-09-11,273.8800
1951-09-12,275.3100
1951-09-13,276.3700
1951-09-14,276.0600
1951-09-17,275.0900
1951-09-18,274.3800
1951-09-19,274.2700
1951-09-20,274.1000
1951-09-21,272.1100
1951-09-24,270.7700
1951-09-25,272.2400
1951-09-26,272.2400
1951-09-27,271.3100
1951-09-28,271.1600
1951-10-01,272.5600
1951-10-02,274.3400
1951-10-03,275.8700
1951-10-04,275.3500
1951-10-05,275.6300
1951-10-06,275.5300
1951-10-08,275.1400
1951-10-09,273.3800
1951-10-10,272.7600
1951-10-11,274.1000
1951-10-13,275.1300
1951-10-15,275.7400
1951-10-16,274.4000
1951-10-17,273.5300
1951-10-18,273.5100
1951-10-19,269.6800
1951-10-20,267.4200
1951-10-22,262.2900
1951-10-23,263.5000
1951-10-24,264.9500
1951-10-25,264.1700
1951-10-26,262.2700
1951-10-27,258.5300
1951-10-29,260.4300
1951-10-30,260.5200
1951-10-31,262.3500
1951-11-01,264.0600
1951-11-02,261.9400
1951-11-03,259.5700
1951-11-05,259.7600
1951-11-07,257.1400
1951-11-08,257.1400
1951-11-09,259.9100
1951-11-10,261.2900
1951-11-13,260.4100
1951-11-14,261.2700
1951-11-15,260.9100
1951-11-16,260.3900
1951-11-17,260.8200
1951-11-19,259.7000
1951-11-20,259.3000
1951-11-21,258.7200
1951-11-23,256.9500
1951-11-24,255.9500
1951-11-26,257.4400
1951-11-27,259.4600
1951-11-28,258.6400
1951-11-29,258.9600
1951-11-30,261.2700
1951-12-01,262.2900
1951-12-03,263.2400
1951-12-04,264.2900
1951-12-05,263.7200
1951-12-06,266.2300
1951-12-07,266.9900
1951-12-08,266.9000
1951-12-10,267.3800
1951-12-11,265.7700
1951-12-12,266.0900
1951-12-13,265.8100
1951-12-14,265.7100
1951-12-15,265.4800
1951-12-17,265.7900
1951-12-18,266.6100
1951-12-19,267.6100
1951-12-20,267.4500
1951-12-21,266.3400
1951-12-22,265.9400
1951-12-24,265.7900
1951-12-26,264.0600
1951-12-27,266.7400
1951-12-28,268.1800
1951-12-29,268.5200
1951-12-31,269.2300
1952-01-02,269.8600
1952-01-03,270.3800
1952-01-04,271.0300
1952-01-05,271.2600
1952-01-07,270.3400
1952-01-08,268.6600
1952-01-09,268.0800
1952-01-10,269.4600
1952-01-11,270.3100
1952-01-12,270.7300
1952-01-14,271.5900
1952-01-15,270.4600
1952-01-16,271.1300
1952-01-17,271.9100
1952-01-18,272.1000
1952-01-19,272.9300
1952-01-21,274.1000
1952-01-22,275.4000
1952-01-23,274.2700
1952-01-24,273.9000
1952-01-25,273.4100
1952-01-26,273.6900
1952-01-28,274.1700
1952-01-29,274.0000
1952-01-30,270.7100
1952-01-31,270.6900
1952-02-01,271.6800
1952-02-02,272.5100
1952-02-04,269.7900
1952-02-05,269.0400
1952-02-06,268.7700
1952-02-07,268.3500
1952-02-08,269.8500
1952-02-09,269.8300
1952-02-11,268.4500
1952-02-13,266.2100
1952-02-14,265.8800
1952-02-15,266.2700
1952-02-16,266.3000
1952-02-18,265.3500
1952-02-19,261.3700
1952-02-20,258.4900
1952-02-21,259.6000
1952-02-23,261.4000
1952-02-25,260.5800
1952-02-26,259.3000
1952-02-27,259.6800
1952-02-28,260.4900
1952-02-29,260.0800
1952-03-01,260.2700
1952-03-03,260.0800
1952-03-04,263.9500
1952-03-05,264.6600
1952-03-06,264.0300
1952-03-07,263.8700
1952-03-08,264.1400
1952-03-10,262.7600
1952-03-11,262.7600
1952-03-12,263.7800
1952-03-13,264.2400
1952-03-14,264.0500
1952-03-15,264.4300
1952-03-17,264.0800
1952-03-18,264.1000
1952-03-19,264.3700
1952-03-20,265.3300
1952-03-21,265.6200
1952-03-22,265.6900
1952-03-24,265.6000
1952-03-25,264.2800
1952-03-26,263.8700
1952-03-27,265.2100
1952-03-28,266.9600
1952-03-29,269.0000
1952-03-31,269.4600
1952-04-01,267.2200
1952-04-02,267.0300
1952-04-03,266.8000
1952-04-04,265.6200
1952-04-05,265.4400
1952-04-07,263.3800
1952-04-08,265.2900
1952-04-09,265.0400
1952-04-10,265.7500
1952-04-12,266.2900
1952-04-14,264.1000
1952-04-15,261.2900
1952-04-16,261.4800
1952-04-17,259.8500
1952-04-18,260.5200
1952-04-19,260.1400
1952-04-21,261.6300
1952-04-22,261.1000
1952-04-23,259.9700
1952-04-24,258.8600
1952-04-25,259.8000
1952-04-26,260.2700
1952-04-28,259.9500
1952-04-29,259.3400
1952-04-30,257.6300
1952-05-01,256.3500
1952-05-02,260.0000
1952-05-03,260.5500
1952-05-05,261.5400
1952-05-06,261.0100
1952-05-07,261.9900
1952-05-08,262.3900
1952-05-09,262.7400
1952-05-10,262.5000
1952-05-12,261.7200
1952-05-13,261.9900
1952-05-14,260.9900
1952-05-15,260.1000
1952-05-16,259.8200
1952-05-17,259.8800
1952-05-19,260.0600
1952-05-20,261.2600
1952-05-21,261.7800
1952-05-22,263.3300
1952-05-23,263.2700
1952-05-24,263.2300
1952-05-26,264.2200
1952-05-27,263.9200
1952-05-28,262.7800
1952-05-29,262.9400
1952-06-02,262.3100
1952-06-03,262.0900
1952-06-04,263.6700
1952-06-05,266.2900
1952-06-06,268.0300
1952-06-09,269.1500
1952-06-10,267.6700
1952-06-11,267.9300
1952-06-12,267.9100
1952-06-13,268.5600
1952-06-16,267.8300
1952-06-17,268.0300
1952-06-18,269.0900
1952-06-19,269.5400
1952-06-20,270.1900
1952-06-23,269.5000
1952-06-24,269.9200
1952-06-25,270.4500
1952-06-26,271.2400
1952-06-27,272.4400
1952-06-30,274.2600
1952-07-01,275.4600
1952-07-02,274.8700
1952-07-03,274.9500
1952-07-07,274.2000
1952-07-08,274.4300
1952-07-09,273.2500
1952-07-10,272.5800
1952-07-11,274.2200
1952-07-14,275.0800
1952-07-15,276.7600
1952-07-16,276.7600
1952-07-17,275.6200
1952-07-18,273.9000
1952-07-21,274.9100
1952-07-22,275.9500
1952-07-23,277.6300
1952-07-24,279.2600
1952-07-25,277.7100
1952-07-28,277.9400
1952-07-29,278.5700
1952-07-30,279.2400
1952-07-31,279.5600
1952-08-01,279.8000
1952-08-04,279.8700
1952-08-05,279.5000
1952-08-06,279.0700
1952-08-07,279.3800
1952-08-08,279.8400
1952-08-11,280.2900
1952-08-12,278.1400
1952-08-13,277.8800
1952-08-14,277.7500
1952-08-15,277.3700
1952-08-18,274.3100
1952-08-19,274.1400
1952-08-20,274.3500
1952-08-21,274.4500
1952-08-22,274.4300
1952-08-25,273.5700
1952-08-26,273.1700
1952-08-27,273.8400
1952-08-28,274.4100
1952-08-29,275.0400
1952-09-02,276.4000
1952-09-03,277.1500
1952-09-04,276.7600
1952-09-05,276.5000
